Price,Close,High,Low,Open,Volume
Ticker,GOOG,GOOG,GOOG,GOOG,GOOG
Date,,,,,
2025-01-02,190.18446350097656,192.74844896835342,188.2689527611631,191.03746092831022,17545200
2025-01-03,192.6786346435547,194.0454279018482,190.90279595567074,192.27458239970693,12875000
2025-01-06,197.49734497070312,199.09359640075925,194.6041135646996,194.6938995678703,19483300
2025-01-07,196.25027465820312,201.6675768677657,195.4820699670292,197.80662633778735,16966800
2025-01-08,194.93333435058594,197.17807565596954,193.29716796358696,193.49669747944026,14335300
2025-01-10,192.71853637695312,197.15813314082064,191.1522135740279,194.96327785315745,20753800
2025-01-13,191.840576171875,192.04012091355685,188.21907050187193,190.9027859123521,13169100
2025-01-14,190.60348510742188,192.81829778917887,189.19677687544416,192.0500931540871,13651200
2025-01-15,196.51962280273438,197.33771364214047,192.87815951038286,193.89577987401847,12894900
2025-01-16,193.95562744140625,196.51961290604416,193.84588392513763,195.36731359678672,13449600
2025-01-17,197.0883026123047,198.3453523456224,194.85353230772373,197.5871340462902,22109100
2025-01-21,199.16343688964844,203.36358890568238,198.97387851504385,200.0413698339001,19005200
2025-01-22,199.5625,201.64761171687047,198.73443800219633,200.08128894793919,15477400
2025-01-23,199.11355590820312,201.4680408724352,196.36001188825463,199.51261496391953,15170800
2025-01-24,201.42813110351562,202.0965786351782,199.31707911067167,199.3829343605458,12732400
2025-01-27,193.317138671875,198.20568064788733,192.2496320933797,193.7361552506937,24970200
2025-01-28,196.6094207763672,196.76903525923464,192.15983786632293,194.19506333680457,15939200
2025-01-29,196.7191619873047,197.996184495964,194.73382257250486,196.90872037272584,12287800
2025-01-30,202.1564178466797,202.76299853350355,199.00579397760555,199.29311526162687,14571500
2025-01-31,205.11949157714844,206.5960283580682,203.10420832301156,203.23888732975223,17087300
2025-02-03,202.1663818359375,204.7403535931693,201.18867658994463,201.74237211672164,16719500
2025-02-04,207.22454833984375,208.21222477597146,203.7825994771977,204.02204403120282,28285400
2025-02-05,192.84823608398438,194.09531467321975,189.46615955890312,192.64870655433216,43666400
2025-02-06,192.8582000732422,193.37698900958168,190.04479879639024,190.54363021356718,20816600
2025-02-07,186.70262145996094,192.56389058817888,184.66739598425335,192.28953939908743,29565700
2025-02-10,187.7601318359375,189.5459567340878,187.1715144502766,188.6181224342211,16606000
2025-02-11,186.63279724121094,188.35874971464176,185.64510553629137,186.39834586180146,13028100
2025-02-12,184.99661254882812,186.39334965443638,183.20083162081673,184.79708302606318,17632300
2025-02-13,187.44088745117188,187.55063096558857,184.44789911958088,185.49543285713702,12729300
2025-02-14,186.43325805664062,187.710265328906,185.67503974596042,186.39335823950063,12714200
2025-02-18,185.36575317382812,187.34112127548525,183.1509405174052,187.00191957357848,19796000
2025-02-19,186.69264221191406,186.9221003904601,185.06644699762356,185.74984357105208,13120500
2025-02-20,186.20379638671875,186.68267029911405,184.1685708416933,186.06412419463982,12063800
2025-02-21,181.15562438964844,187.03185804052796,180.70667914617334,186.85227080926163,19520800
2025-02-24,180.7665252685547,184.657404101475,180.45725223608233,183.37042578693251,18734000
2025-02-25,176.9554443359375,180.3375205878845,176.3568557953225,179.73393886191508,20832500
2025-02-26,174.29168701171875,177.66379212576618,173.18428070180607,176.53145033526187,23637200
2025-02-27,169.81219482421875,176.17727324661973,169.35525745967232,175.5287985046505,25930500
2025-02-28,171.81748962402344,172.0968339917832,167.99643925122783,169.9019788637596,30049800
2025-03-03,168.2658233642578,174.5910023086314,167.24820297404042,173.32396620083026,24122000
2025-03-04,172.2065887451172,174.75561007301968,167.14843068284262,167.54750496505613,30711400
2025-03-05,174.58103942871094,175.33925776575026,170.530515195884,171.9172812655315,18848000
2025-03-06,173.8028564453125,176.3169559339047,172.10482314675943,172.14673241646634,19082400
2025-03-07,175.33924865722656,176.48655486359908,171.84742862706844,172.83711457416246,16395300
2025-03-10,167.60853576660156,170.24536574432202,165.3662358448488,169.95572060530762,28990700
2025-03-11,165.78073120117188,168.45252282245698,163.044030416552,166.47988777970724,23705900
2025-03-12,168.79710388183594,169.3264663611627,165.28132561649218,168.2677414025092,19880100
2025-03-13,164.5322265625,167.91815603552024,163.87303051854863,167.7783247243221,15206200
2025-03-14,167.41876220703125,168.04801074979082,164.31249524714883,165.11653674517166,18611100
2025-03-17,166.37002563476562,168.2577559168053,165.6109283265474,167.12410882849613,17839100
2025-03-18,162.47470092773438,166.24017903407955,158.60935202299166,165.76075957654993,24616800
2025-03-19,166.0803680419922,167.93114021621946,162.85425014963062,163.71820190289233,24955700
2025-03-20,164.8518524169922,166.82947106241681,162.94414180808522,163.62831699346756,19981500
2025-03-21,166.0504150390625,166.27015214587064,162.83427946538407,163.1838653827072,29882100
2025-03-24,169.72598266601562,170.29530566607272,167.2389817975791,169.06178773975245,18742800
2025-03-25,172.58255004882812,172.70241634620135,170.3452490374626,170.9744823266741,13841600
2025-03-26,166.9393310546875,171.7335712212968,166.66065907251976,171.0943402151135,22498000
2025-03-27,163.8830108642578,167.23897752920905,163.65329126470644,166.50985821904274,21571200
2025-03-28,155.8726348876953,163.61333038479785,155.1525074562642,162.16507427536936,34866500
2025-03-31,156.0424346923828,156.9413633467702,152.02727185371793,154.62414129418428,33591600
2025-04-01,158.6892547607422,159.8878110018008,155.06860690809398,155.11355105258087,20111400
2025-04-02,158.66928100585938,160.0825755197471,156.3420764618875,156.77156814980734,17113300
2025-04-03,152.44676208496094,154.50128410252282,151.99729014847443,152.6515177972455,28416100
2025-04-04,147.56263732910156,152.90620528213597,147.36286524523692,149.72003257441966,39832200
